id,korean,vietnamese,english,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
1,동료 (dong-ryo),Đồng nghiệp,Colleague,"그는 나의 동료입니다.","Anh ấy là đồng nghiệp của tôi.","He is my colleague.","동료와 함께 프로젝트를 진행하고 있어요.","Tôi đang làm dự án cùng đồng nghiệp.","I'm working on a project with my colleague."
2,어른 (eo-reun),Người lớn,Adult,"어른이 되면 책임이 많아져요.","Khi trở thành người lớn, bạn có nhiều trách nhiệm hơn.","When you become an adult, you have more responsibilities.","아이들은 어른의 말을 잘 들어야 해요.","Trẻ em nên nghe lời người lớn.","Children should listen to adults."
3,드리다 (deu-ri-da),Biếu/Tặng (kính ngữ),To give (honorific),"선생님께 선물을 드렸습니다.","Tôi đã biếu quà cho giáo viên.","I gave a gift to the teacher.","감사 인사를 드립니다.","Tôi xin gửi lời cảm ơn.","I offer my thanks."
4,예절 (ye-jeol),Lễ nghi,Etiquette,"그는 예절을 잘 지켜요.","Anh ấy rất giữ lễ nghi.","He has good manners.","아이들에게 예절을 가르쳐야 해요.","Phải dạy lễ nghi cho trẻ em.","We should teach etiquette to children."
5,가르치다 (ga-reu-chi-da),Dạy,To teach,"선생님이 수학을 가르쳐요.","Giáo viên dạy toán.","The teacher teaches math.","저는 영어를 가르치고 있어요.","Tôi đang dạy tiếng Anh.","I am teaching English."
6,다르다 (da-reu-da),Khác nhau,To be different,"그들의 문화는 우리와 달라요.","Văn hóa của họ khác với chúng ta.","Their culture is different from ours.","취향이 달라요.","Sở thích khác nhau.","Our tastes are different."
7,만지다 (man-ji-da),Chạm vào,To touch,"그림을 만지지 마세요.","Đừng chạm vào bức tranh.","Don't touch the painting.","아이들이 고양이를 만졌어요.","Bọn trẻ đã chạm vào con mèo.","The kids touched the cat."
8,내다 (nae-da),Đưa ra / Trả,To pay / To submit,"그는 돈을 냈어요.","Anh ấy đã trả tiền.","He paid the money.","숙제를 냈어요.","Tôi đã nộp bài tập.","I submitted my homework."
9,여권 (yeo-kkwon),Hộ chiếu,Passport,"여권을 잃어버렸어요.","Tôi đã mất hộ chiếu.","I lost my passport.","여권을 보여 주세요.","Vui lòng xuất trình hộ chiếu.","Please show your passport."
10,착하다 (cha-ka-da),Tốt bụng,Kind,"그녀는 정말 착해요.","Cô ấy rất tốt bụng.","She is really kind.","착한 사람을 만났어요.","Tôi đã gặp một người tốt.","I met a kind person."
11,들다 (deul-da),Cầm / Vào,To hold / To enter,"가방을 들고 있어요.","Tôi đang cầm túi.","I am holding a bag.","방에 들어갔어요.","Tôi đã vào phòng.","I entered the room."
12,올림 (ol-lim),Kính gửi (cuối thư),Sincerely (formal ending),"편지 끝에 '올림'을 씁니다.","Viết 'kính gửi' ở cuối thư.","We write 'ol-lim' at the end of a letter.","김철수 올림.","Kính gửi: Kim Cheol-su.","Sincerely, Kim Cheol-su."
13,약속을 지키다 (yaksogeul jikida),Giữ lời hứa,Keep a promise,"그는 항상 약속을 지켜요.","Anh ấy luôn giữ lời hứa.","He always keeps his promises.","나는 친구와의 약속을 지켰어요.","Tôi đã giữ lời hứa với bạn.","I kept my promise to my friend."
14,약속을 안 지키다 / 못 지키다 (yaksogeul an jikida / mot jikida),Không giữ lời hứa / Không thể giữ lời hứa,Not keep a promise / Unable to keep a promise,"그는 약속을 안 지켰어요.","Anh ấy đã không giữ lời hứa.","He didn’t keep his promise.","바빠서 약속을 못 지켰어요.","Vì bận nên tôi không thể giữ lời hứa.","I couldn’t keep the promise because I was busy."
