id,korean,vietnamese,english,description,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
1,의,của,of,Dùng để biểu thị sự sở hữu giữa hai danh từ.,친구의 책,Sách của bạn.,Friend's book.,아버지의 자동차,Xe của bố.,Father's car.
2,~(으)ㄹ 때,khi...,when...,Dùng để diễn tả thời điểm xảy ra hành động hoặc trạng thái.,밥을 먹을 때 물을 마셔요.,Khi ăn cơm thì uống nước.,I drink water when I eat.,공부할 때 음악을 들어요.,Khi học thì nghe nhạc.,I listen to music when I study.
3,~아/어 주다,làm giúp...,do something for someone,Dùng để diễn tả hành động làm gì đó cho người khác.,문을 열어 주세요.,Hãy mở cửa giúp tôi.,Please open the door for me.,도와 주세요.,Hãy giúp tôi.,Please help me.
4,만,chỉ,only,Dùng để giới hạn phạm vi hoặc số lượng.,나만 갔어요.,Chỉ mình tôi đã đi.,Only I went.,물만 마셔요.,Chỉ uống nước.,I only drink water.
5,~(으)니까,vì...,because...,Dùng để nêu lý do dẫn đến hành động hoặc kết quả.,피곤하니까 쉬어요.,Vì mệt nên nghỉ ngơi.,I rest because I'm tired.,비가 오니까 우산을 써요.,Vì trời mưa nên dùng ô.,I use an umbrella because it's raining.
6,~지 말다,đừng...,don’t...,Dùng để yêu cầu ai đó không làm gì.,가지 마세요.,Đừng đi.,Don’t go.,먹지 마세요.,Đừng ăn.,Don’t eat.
7,~아/어도 되다,có thể...,may/can...,Dùng để xin phép hoặc nói rằng hành động nào đó được phép.,들어와도 돼요.,Bạn có thể vào.,You may come in.,먹어도 돼요.,Bạn có thể ăn.,You may eat.
8,보다,hơn,than,Dùng để so sánh giữa hai đối tượng.,사과보다 바나나가 더 맛있어요.,Chuối ngon hơn táo.,Bananas are tastier than apples.,오늘보다 내일이 더 좋아요.,Ngày mai tốt hơn hôm nay.,Tomorrow is better than today.
9,~(으)ㄴ,đã...,past modifier,Dùng để bổ nghĩa cho danh từ bằng động từ ở thì quá khứ.,먹은 밥,Cơm đã ăn.,Rice that was eaten.,본 영화,Bộ phim đã xem.,Movie that was watched.
10,~는,đang...,present modifier,Dùng để bổ nghĩa cho danh từ bằng động từ ở thì hiện tại.,먹는 밥,Cơm đang ăn.,Rice being eaten.,읽는 책,Cuốn sách đang đọc.,Book being read.
11,~(으)ㄴ,đã...,past modifier,Dùng để bổ nghĩa cho danh từ bằng động từ ở thì quá khứ.,읽은 책,Cuốn sách đã đọc.,The book I read.,만든 음식,Món ăn đã làm.,The food that was made.
12,마다,mỗi...,every...,Dùng để chỉ sự lặp lại theo thời gian hoặc đơn vị.,날마다 운동해요.,Tôi tập thể dục mỗi ngày.,I exercise every day.,사람마다 생각이 달라요.,Mỗi người có suy nghĩ khác nhau.,Everyone thinks differently.
13,~아/어야 하다,phải...,must/have to...,Dùng để diễn tả nghĩa vụ hoặc điều bắt buộc.,숙제를 해야 해요.,Phải làm bài tập.,I must do homework.,약을 먹어야 해요.,Phải uống thuốc.,I have to take medicine.
14,~지 못하다,không thể...,cannot...,Dùng để diễn tả sự không thể thực hiện hành động.,수영하지 못해요.,Tôi không thể bơi.,I can't swim.,운전하지 못해요.,Tôi không thể lái xe.,I can't drive.
15,~(으)면,nếu...,if...,Dùng để diễn tả điều kiện hoặc giả định.,비가 오면 집에 있어요.,Nếu trời mưa thì ở nhà.,If it rains, I stay home.,시간이 있으면 만나요.,Nếu có thời gian thì gặp nhau.,If I have time, let's meet.
16,~(으)ㄹ,sẽ...,future modifier,Dùng để bổ nghĩa cho danh từ bằng động từ ở thì tương lai.,먹을 음식,Món ăn sẽ ăn.,Food that will be eaten.,볼 영화,Bộ phim sẽ xem.,Movie that will be watched.
17,~아/어서,vì...,so/and then...,Dùng để nối hai hành động hoặc biểu thị nguyên nhân.,배가 아파서 병원에 갔어요.,Vì đau bụng nên tôi đã đến bệnh viện.,I went to the hospital because my stomach hurt.,날씨가 좋아서 산책했어요.,Vì thời tiết đẹp nên tôi đã đi dạo.,I took a walk because the weather was nice.
18,~지요?,...nhỉ?,...isn't it?,Dùng để xác nhận thông tin hoặc thể hiện sự đồng thuận.,이 영화 재미있지요?,Bộ phim này hay nhỉ?,This movie is fun, isn’t it?,날씨가 덥지요?,Thời tiết nóng nhỉ?,The weather is hot, isn’t it?
19,서수사,số thứ tự,ordinal numbers,Dùng để biểu thị thứ tự (thứ nhất, thứ hai...),첫 번째 사람,Người thứ nhất.,The first person.,세 번째 문제,Câu hỏi thứ ba.,The third question.
20,~(으)려고,định...,intend to...,Dùng để diễn tả ý định thực hiện hành động nào đó.,공부하려고 도서관에 갔어요.,Tôi đã đến thư viện để học.,I went to the library to study.,운동하려고 일찍 일어났어요.,Tôi đã dậy sớm để tập thể dục.,I woke up early to exercise.
21,~기 전에,trước khi...,before...,Dùng để diễn tả hành động xảy ra trước một hành động khác.,먹기 전에 손을 씻어요.,Rửa tay trước khi ăn.,I wash my hands before eating.,자기 전에 책을 읽어요.,Đọc sách trước khi ngủ.,I read a book before sleeping.
22,~(으)ㄹ게요,sẽ...,I will...,Dùng để hứa hoặc cam kết thực hiện hành động.,제가 도와줄게요.,Tôi sẽ giúp bạn.,I will help you.,내일 전화할게요.,Tôi sẽ gọi điện vào ngày mai.,I’ll call you tomorrow.
23,~겠~,sẽ/chắc...,will/probably...,Dùng để diễn tả dự đoán hoặc ý chí.,비가 오겠어요.,Chắc sẽ mưa.,It will probably rain.,맛있겠네요.,Chắc ngon lắm.,It must be delicious.
24,~네요,...nhỉ!,how...!,Dùng để thể hiện cảm xúc ngạc nhiên, ấn tượng hoặc nhận xét.,날씨가 좋네요!,Thời tiết đẹp nhỉ!,The weather is nice!,이 옷이 예쁘네요!,Cái áo này đẹp nhỉ!,This dress is pretty!
